id,name,side,category,model_tier
side_b-ground-robots-kurier,Kurier,Russia,ground-robot-logistics,Icon
side_b-ground-robots-omich-2,Omich-2,Russia,ground-robot-logistics,Icon
side_b-ground-robots-uran-6,Uran-6,Russia,ground-robot-engineering,Icon
side_b-ground-robots-uran-9,Uran-9,Russia,ground-robot-combat,Icon
side_b-ground-robots-varan,Varan,Russia,ground-robot-multipurpose,Icon
side_b-logistics-hub-op-near,Near-Rear Logistics Point,Russia,logistics-hub,Icon
side_b-medical-casevac-chain,Point of Injury / Casualty Collection Point,Russia,medical-casevac,Icon
side_b-naval-admiral-grigorovich,Admiral Grigorovich-class frigate (Project 11356R),Russia,naval-frigate,Icon
side_b-naval-fleet-black-sea,Black Sea Fleet Surface Presence,Russia,naval-surface-fleet,Icon
side_b-naval-kilo-636-3,Improved Kilo-class submarine (Project 636.3),Russia,naval-submarine,Icon
side_b-strategic-target-power-plant,Power Generation & Grid Node,Russia,strategic-infrastructure-target,Icon
side_b-uav-forpost-ru,Forpost-RU,Russia,uav-strike,Icon
side_b-uav-gerbera,Gerbera,Russia,uav-strike,Icon
side_b-uav-kub-1,KUB-1,Russia,uav-strike,Icon
side_b-uav-orion,Orion,Russia,uav-strike,Icon
side_b-uav-reconnaissance-tactical,Orlan-10,Russia,uav-reconnaissance,Hero
side_b-uav-shahed-136-geran-2,Shahed-136 / Geran-2,Russia,uav-strike,Icon
side_b-uav-strike-lancet,Lancet Loitering Munition,Russia,uav-strike,Hero
side_b-uav-supercam-s350,Supercam S350,Russia,uav-reconnaissance,Icon
side_b-uav-zala-z-16,Zala Z-16,Russia,uav-reconnaissance,Icon
