asset_id,side,side_code,name,representative_system,kind,group,category,comparison_group,platform_domain,engagement_domain,echelon,short_role,has_hero_3d_model,current_icon_image,icon_image_status,current_gallery_images,gallery_image_count,prior_3d_tier,prior_sourcing_status,prior_model_source,prior_model_license,prior_model_notes,prior_manifest_match,reference_links,found_model_url,found_model_license,found_model_poly_count,found_image_urls,found_image_license,sourcing_notes
side_a-armor-m113-apc,Ukraine,UA,M113 APC,M113 APC — Tracked armored personnel carrier,platform,Armor,armor-apc,,,land,tactical,Tracked armored personnel carrier,no,/icons/m113-apc.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/low-poly-m113-apc-32f0a9c3bc5245b39aa6969961ad064d,Free,,M113 APC,https://militarnyi.com/en/articles/m113-nato-s-workhorse-in-defense-forces-of-ukraine/ | https://www.globalsecurity.org/military/world//ukraine/ua-m113.htm,,,,,,
side_a-armor-m1a1-abrams,Ukraine,UA,M1A1 Abrams,M1A1 Abrams — Main battle tank,platform,Armor,armor-main-battle-tank,,,land,tactical,Main battle tank,no,/icons/m1a1-abrams.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/m1a1-abrams-low-poly-c066891a8a724460bcdb5316c38d5ce2,"Free, CC-BY",,M1A1 Abrams,https://nationalsecurityjournal.org/ukraine-has-49-new-m1a1-abrams-tanks-and-america-isnt-happy-one-bit/ | https://www.globalmilitary.net/vehicles/m1-a1-abrams/,,,,,,
side_a-armor-marder-1a3,Ukraine,UA,Marder 1A3,Marder 1A3 — Infantry fighting vehicle,platform,Armor,armor-ifv,,,land,tactical,Infantry fighting vehicle,no,/icons/marder-1a3.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/marder-1a3-infantry-combat-vehicle-53238479325448fcb158e5ea58568e38,Free,Exact match,Marder 1A3,https://en.wikipedia.org/wiki/Marder_(infantry_fighting_vehicle) | https://www.armyrecognition.com/focus-analysis-conflicts/army/conflicts-in-the-world/russia-ukraine-war-2022/marder-1a3-ifv-joins-ukraine-s-elite-unit-in-its-maiden-combat-mission,,,,,,
side_a-armor-t-64bv-t-64bm-bulat,Ukraine,UA,T-64BV / T-64BM Bulat,"T-64BV / T-64BM Bulat — Main battle tank (Soviet-legacy, Ukrainian-upgraded)",platform,Armor,armor-main-battle-tank,,,land,tactical,"Main battle tank (Soviet-legacy, Ukrainian-upgraded)",no,/icons/t-64bv-t-64bm-bulat.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/unhappy_nation/collections/t-64-family-7f0041d9fc704645a9e1d9c1b0fde69d,Free (collection),Collection includes exact 'Ukrainian T-64BM Bulat' variant,T-64BV / T-64BM Bulat,https://www.globalsecurity.org/military/world/ukraine/t-64bm-design.htm | https://www.armyrecognition.com/military-products/army/main-battle-tanks/main-battle-tanks/t-64bm-bulat-ukraine-uk,,,,,,
side_a-armor-t-72amt-upgraded-t-72,Ukraine,UA,T-72AMT / upgraded T-72,"T-72AMT / upgraded T-72 — Main battle tank (Soviet-legacy, upgraded)",platform,Armor,armor-main-battle-tank,,,land,tactical,"Main battle tank (Soviet-legacy, upgraded)",no,/icons/t-72amt-upgraded-t-72.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/t-72amt-5d29173aa7774384b44946a0d584d27a,Free,Exact match by 42manako,T-72AMT / upgraded T-72,https://en.wikipedia.org/wiki/T-72,,,,,,
side_a-armor-vab-apc,Ukraine,UA,VAB APC,VAB APC — Wheeled armored personnel carrier,platform,Armor,armor-apc,,,land,tactical,Wheeled armored personnel carrier,no,/icons/vab-apc.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/vab-low-poly-debcceb067e64c5fa80a0d98b8471f99,Free,,VAB APC,https://en.wikipedia.org/wiki/V%C3%A9hicule_de_l%27Avant_Blind%C3%A9 | https://militarnyi.com/en/news/the-ukrainian-servicemen-are-using-the-french-vab-armored-personnel-carriers-on-the-front-line/,,,,,,
side_a-artillery-2s22-bohdana,Ukraine,UA,2S22 Bohdana,"2S22 Bohdana — Self-propelled artillery (wheeled, domestic)",platform,Artillery & Mortars,artillery-self-propelled,,,land,tactical,"Self-propelled artillery (wheeled, domestic)",no,/icons/2s22-bohdana.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/2s22-bohdana-self-propelled-howitzer-48bf30ce959b4aa9b7d3082b6dbdc918,Free,Alt: 2s22-bogdana-spg-52a19b0d288448d0a8c5c44621b02e2f,2S22 Bohdana,https://en.wikipedia.org/wiki/2S22_Bohdana | https://www.army-technology.com/projects/2s22-bohdana-howitzer-ukraine/,,,,,,
side_a-artillery-caesar-155mm-self-propelled-gun,Ukraine,UA,Caesar 155mm Self-Propelled Gun,Caesar 155mm Self-Propelled Gun — Self-propelled artillery (wheeled),platform,Artillery & Mortars,artillery-self-propelled,,,land,tactical,Self-propelled artillery (wheeled),no,/icons/caesar-155mm-self-propelled-gun.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/caesar-spg-35e840605e9c41f581e920c2eeaee6ca,Free,,Caesar 155mm Self-Propelled Gun,https://en.wikipedia.org/wiki/CAESAR_self-propelled_howitzer | https://www.armyrecognition.com/focus-analysis-conflicts/army/conflicts-in-the-world/russia-ukraine-war-2022/french-caesar-155mm-howitzers-in-ukraine-considered-a-nightmare-for-russian-forces,,,,,,
side_a-artillery-himars-m142,Ukraine,UA,HIMARS (M142),"M142 HIMARS, firing GMLRS / ER GMLRS / ATACMS",platform,Artillery & Mortars,artillery-rocket-deep-strike,mlrs_heavy,,land,operational,"Wheeled, truck-mounted rocket artillery used for deep, precision strikes on command posts, logistics and ammunition depots well behind the immediate line.",yes,https://commons.wikimedia.org/wiki/Special:FilePath/M142_himars.jpg,external url,https://commons.wikimedia.org/wiki/Special:FilePath/M142_himars.jpg,1,Hero,Sourced,sketchfab.com/3d-models/ukrainian-m142-himars-95d255cd685e4cc5afc35ba5f58679d4,Free,"Ukrainian livery, sourced earlier pass",M142 HIMARS,https://en.wikipedia.org/wiki/M142_HIMARS | https://militarymachine.com/himars-cost | https://www.newsweek.com/who-makes-himars-cost-launch-missile-fire-manufacture-1752295,,,,,,
side_a-artillery-m109-paladin,Ukraine,UA,M109 Paladin,M109 Paladin — Self-propelled artillery (tracked),platform,Artillery & Mortars,artillery-self-propelled,,,land,tactical,Self-propelled artillery (tracked),no,/icons/m109-paladin.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/m109-paladin-artillery-3de0572475d54f7b9da18d6ed26b4a10,Free,,M109 Paladin,https://www.globalmilitary.net/vehicles/m109/ | https://www.armyrecognition.com/focus-analysis-conflicts/army/conflicts-in-the-world/russia-ukraine-war-2022/analysis-us-m109a6-paladin-155mm-howitzer-key-to-ukraines-artillery-superiority-in-the-fight-against-russia,,,,,,
side_a-artillery-m270a1-mlrs,Ukraine,UA,M270A1 MLRS,M270A1 MLRS — Multiple launch rocket system (tracked),platform,Artillery & Mortars,artillery-rocket,,,land,operational,Multiple launch rocket system (tracked),no,/icons/m270a1-mlrs.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/m270-mlrs-3d-model-589d5bbc6c1346a88fbd78145eb82750,Free,,M270A1 MLRS,https://en.wikipedia.org/wiki/M270_Multiple_Launch_Rocket_System | https://www.army-technology.com/news/norway-uk-m270-mlrs-ukraine/,,,,,,
side_a-artillery-m777,Ukraine,UA,M777 155mm Towed Howitzer,"M777A2 (BAE Systems), firing M795 / M982 Excalibur precision rounds",platform,Artillery & Mortars,artillery,towed_artillery,,land,tactical,Towed 155mm howitzer providing indirect fire support; titanium construction keeps it light enough for helicopter/vehicle relocation.,yes,https://commons.wikimedia.org/wiki/Special:FilePath/M777_Light_Towed_Howitzer_1.jpg,external url,https://commons.wikimedia.org/wiki/Special:FilePath/M777_Light_Towed_Howitzer_1.jpg,1,Hero,Weak / Verify,See model-sourcing-shortlist.md from earlier pass,-,Not re-searched this pass; check earlier shortlist doc,M777 155mm Towed Howitzer,https://en.wikipedia.org/wiki/M777_howitzer | https://en.defence-ua.com/weapon_and_tech/american_m777_howitzers_in_ukraine_in_all_details_from_projectiles_to_fire_control_system-2925.html | https://historynet.com/m777-howitzer/,,,,,,
side_a-artillery-pzh-2000,Ukraine,UA,PzH 2000,PzH 2000 — Self-propelled artillery (tracked),platform,Artillery & Mortars,artillery-self-propelled,,,land,tactical,Self-propelled artillery (tracked),no,/icons/pzh-2000.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/panzerhaubitze-2000-artillery-pzh-2000-da078be6bc66461e87034f29600a4982,Free,Sourced in earlier pass,PzH 2000,https://www.globalsecurity.org/military/world/europe/pzh2000.htm | https://www.armyrecognition.com/archives/archives-land-defense/land-defense-2024/exclusive-german-pzh-2000-howitzers-empower-ukraine-to-strike-deep-into-russian-territory,,,,,,
side_a-c2-integrated-air-defense-network,Ukraine,UA,Integrated Air Defense C2 Network,IBCS-style integrated air/missile defense battle command (Northrop Grumman IBCS pattern),platform,C2 & Communications,c2-battle-management,,land,c2_comms,operational,"The sensor-fusion and battle-management layer that turns separate radars, EW sensors and SAM batteries into one shared air picture.",no,/icons/iads-c2.png,local placeholder — file not in repo,,0,,,,,,,https://www.northropgrumman.com/what-we-do/land/integrated-air-and-missile-defense-battle-command-system-ibcs,,,,,,
side_a-c2-comms-starlink,Ukraine,UA,Starlink Terminal,SpaceX Starlink (military/field-deployed terminal),platform,C2 & Communications,satcom-comms,,land,c2_comms,tactical,Low-earth-orbit satellite internet terminal that gives front-line units resilient connectivity independent of local infrastructure.,no,/icons/starlink.png,local placeholder — file not in repo,/gallery/starlink-terminal-field.jpg,1,,,,,,,https://www.engadget.com/starlink-price-hike-in-ukraine-144623737.html | https://www.globalsecurity.org/space/world/ukraine/starlink.htm | https://mind.ua/en/publications/20249580-starlink-in-ukraine-how-to-connect-what-are-the-costs-traps-and-pitfalls,,,,,,
side_a-ew-jammer-bukovel,Ukraine,UA,Bukovel-AD,Proximus Bukovel-AD,platform,Electronic Warfare,ew-counter-uas,electronic_warfare,land,cyber_ew,operational,"Ukrainian mobile counter-drone electronic warfare system — detects, tracks and jams enemy UAV control and navigation links.",no,/icons/bukovel-ad.png,local placeholder — file not in repo,,0,,,,,,,https://en.wikipedia.org/wiki/Bukovel_(counter_unmanned_aircraft_system) | https://newatlas.com/military/ukraines-anti-drone-expertise-rise/ | https://militarnyi.com/en/news/ukrainian-bukovel-ad-ew-system-landed-russian-zala-421-16e2-uav/,,,,,,
side_a-ground-robots-krab-m1,Ukraine,UA,Krab-M1,Krab-M1 — Ground robot (fire support),platform,Ground Robots (UGV),ground-robot-combat,,,land,tactical,Ground robot (fire support),no,/icons/krab-m1.png,local placeholder — file not in repo,,0,Icon,No free source,-,-,Use generic UGV placeholder,Krab-M1,,,,,,,
side_a-ground-robots-nprk-mul,Ukraine,UA,"NPRK ""Mul""","NPRK ""Mul"" — Ground robot (logistics / evacuation)",platform,Ground Robots (UGV),ground-robot-logistics,,,land,tactical,Ground robot (logistics / evacuation),no,/icons/nprk-mul.png,local placeholder — file not in repo,,0,Icon,No free source,-,-,Use generic UGV placeholder,"NPRK ""Mul""",,,,,,,
side_a-ground-robots-nprk-moroz,Ukraine,UA,NPRK Moroz,NPRK Moroz — Ground robot (fire support / logistics),platform,Ground Robots (UGV),ground-robot-combat,,,land,tactical,Ground robot (fire support / logistics),no,/icons/nprk-moroz.png,local placeholder — file not in repo,,0,Icon,No free source,-,-,Use generic UGV placeholder,NPRK Moroz,https://en.defence-ua.com/news/brave1_unveils_the_moroz_reconnaissance_system-10774.html | https://mwi.westpoint.edu/networked-for-war-lessons-from-ukraines-ground-robots/,,,,,,
side_a-ground-robots-nrtk-ironclad,Ukraine,UA,NRTK Ironclad,NRTK Ironclad — Ground robot (fire support),platform,Ground Robots (UGV),ground-robot-combat,,,land,tactical,Ground robot (fire support),no,/icons/nrtk-ironclad.png,local placeholder — file not in repo,,0,Icon,Weak / Verify,sketchfab.com/3d-models/the-ugv-robot-1-2b24942a1748454fbaa0fc3209efa4b8,"Free (generic, not exact)",No exact match free; generic Ukraine-tagged combat UGV as fallback,NRTK Ironclad,https://euromaidanpress.com/2024/01/13/ironclad-ukrainian-wheeled-combat-robot-destroys-russian-positions/ | https://armyrecognition.com/focus-analysis-conflicts/army/conflicts-in-the-world/russia-ukraine-war-2022/ukraine-to-deploy-articulated-ironclad-ugv-in-combat-operations,,,,,,
side_a-ground-robots-nrtk-ratel-s,Ukraine,UA,NRTK Ratel-S,NRTK Ratel-S — Ground robot (mining / kamikaze / transport),platform,Ground Robots (UGV),ground-robot-multipurpose,,,land,tactical,Ground robot (mining / kamikaze / transport),no,/icons/nrtk-ratel-s.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/ugv-ratel-s-kamikaze-drone-low-poly-01d0c5102f32457594845a2636c7fd20,Free,Exact dedicated low-poly model,NRTK Ratel-S,https://en.defence-ua.com/weapon_and_tech/ukrainian_officials_reveal_the_ratel_s_suicide_ugv_drone_specifications_included-8355.html | https://www.armyrecognition.com/focus-analysis-conflicts/army/conflicts-in-the-world/russia-ukraine-war-2022/ukrainian-forces-use-ratel-s-ground-robot-to-revolutionize-robotic-warfare-in-bridge-destruction,,,,,,
side_a-logistics-hub-op-deep,Ukraine,UA,Forward Distribution Hub,"Generic brigade/divisional forward distribution point — composite, not a named facility",composite/site,Logistics,logistics-hub,,,logistics,operational,Forward distribution point that breaks bulk supply down into brigade- and battalion-sized loads for onward movement toward the line.,no,/icons/logistics-hub.png,local placeholder — file not in repo,,0,,,,,,,,,,,,,
side_a-medical-casevac-chain,Ukraine,UA,Point of Injury / Casualty Collection Point,Point-of-injury care + forward Casualty Collection Point (CCP) — the first link in the evacuation chain,platform,Medical / Casevac,medical-casevac,,,medical,tactical,The first link in the evacuation chain — point-of-injury first aid and a forward collection point before movement toward stabilization care.,no,/icons/casevac-ccp.png,local placeholder — file not in repo,,0,,,,,,,,,,,,,
side_a-naval-usv-magura,Ukraine,UA,Magura V5,Magura V5 uncrewed surface vessel,platform,Naval / Maritime,naval-usv-strike,naval_drone,,sea,operational,"One-way-attack uncrewed surface vessel that has forced a conventional navy back from an entire sea, without a comparable fleet of its own.",no,/icons/magura-v5.png,local placeholder — file not in repo,/gallery/magura-v5.jpg,1,Hero,Sourced,sketchfab.com/3d-models/magura-v5-ukrainian-navy-maritime-drone-d414d0e23a5243168079bcec3352560b,Free,Multiple free options exist; alt: magura-v5-6fc90ed9e2f04f2984249d020a28e997,Magura V5,https://www.kyivpost.com/post/29016 | https://www.usni.org/magazines/proceedings/2025/september/ukraines-magura-naval-drones-black-sea-equalizers | https://www.armyrecognition.com/news/navy-news/2024/ukrainian-magura-v5-drone-paralyzes-russian-black-sea-fleet-damages-18-ships-in-18-months,,,,,,
side_a-naval-mantas-t-12,Ukraine,UA,MANTAS T-12,MANTAS T-12 — Uncrewed surface vessel (multi-role),platform,Naval / Maritime,naval-usv,,,sea,operational,Uncrewed surface vessel (multi-role),no,/icons/mantas-t-12.png,local placeholder — file not in repo,,0,Icon,No free source,sketchfab.com/3d-models/usv-hull-rev1-42db555c31064b218aab7d75791b25a4,"Free (generic, not exact)",Generic USV hull as fallback,MANTAS T-12,https://martacsystems.com/products/t12/ | https://www.naval-technology.com/projects/mantas-t-series-unmanned-surface-vessels-usv/,,,,,,
side_a-naval-sonobot-5,Ukraine,UA,Sonobot-5,Sonobot-5 — Uncrewed surface vessel (survey/reconnaissance),platform,Naval / Maritime,naval-usv,,,sea,operational,Uncrewed surface vessel (survey/reconnaissance),no,/icons/sonobot-5.png,local placeholder — file not in repo,,0,Icon,No free source,-,-,Use generic small USV hull placeholder,Sonobot-5,,,,,,,
side_a-space-isr-satellite-commercial,Ukraine,UA,Commercial SAR/Optical ISR Constellation,Composite: ICEYE SAR constellation + Maxar/Planet/BlackSky optical imagery,composite/site,Space,space-isr,,,space,strategic,"Commercial imaging satellites — synthetic-aperture radar and optical — providing wide-area, all-weather intelligence without risking a crewed aircraft.",no,/icons/isr-satellite.png,local placeholder — file not in repo,,0,,,,,,,https://kyivindependent.com/ukrainian-charity-buys-satellite-for-the-army-how-will-it-help-fight-against-russia/ | https://www.iceye.com/newsroom/press-releases/iceye-signs-contract-to-provide-government-of-ukraine-with-access-to-its-sar-satellite-constellation | https://spacenews.com/satellite-imaging-companies-increase-profile-as-they-track-russias-invasion-of-ukraine/,,,,,,
side_a-strategic-target-power-plant,Ukraine,UA,Power Generation & Grid Node,"Composite — a generic thermal/hydro generation plant and grid substation, not a named facility",composite/site,Strategic Targets,strategic-infrastructure-target,,,land,strategic,"Representative strategic-rear infrastructure target — power generation and grid nodes, alongside bridges, fuel depots and warehousing at similar depth.",no,/icons/power-plant.png,local placeholder — file not in repo,,0,,,,,,,,,,,,,
side_a-uav-an-196-lyutyy,Ukraine,UA,AN-196 Lyutyy,"AN-196 Lyutyy — One-way attack drone (large, deep strike)",platform,UAVs,uav-strike-deep,,,air,strategic,"One-way attack drone (large, deep strike)",no,/icons/an-196-lyutyy.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/drone-liutyi-23c7d05df9824e96b2c8f1c472c74baf,Free,"Exact match, great find",AN-196 Lyutyy,https://en.wikipedia.org/wiki/Liutyi | https://www.hisutton.com/Ukraine-OWA-UAVs.html,,,,,,
side_a-uav-aq-400-scythe,Ukraine,UA,AQ-400 Scythe,"AQ-400 Scythe — One-way attack drone (deep strike, volunteer-developed)",platform,UAVs,uav-strike-deep,,,air,strategic,"One-way attack drone (deep strike, volunteer-developed)",no,/icons/aq-400-scythe.png,local placeholder — file not in repo,,0,Icon,No free source,-,-,,AQ-400 Scythe,https://en.wikipedia.org/wiki/Terminal_Autonomy_AQ-400_Scythe | https://militarnyi.com/en/news/the-ukrainian-military-received-aq-400-scythe-long-range-unmanned-aerial-vehicles/,,,,,,
side_a-uav-bayraktar-tb2,Ukraine,UA,Bayraktar TB2,Bayraktar TB2 — Medium-altitude strike/reconnaissance UAV,platform,UAVs,uav-strike,,,air,tactical,Medium-altitude strike/reconnaissance UAV,no,/icons/bayraktar-tb2.png,local placeholder — file not in repo,,0,Hero,Sourced,sketchfab.com/3d-models/ukrainian-bayraktar-tb2-9738e42238894e5bbc51646c79eadec7,Free,"Ukrainian livery, sourced earlier pass",Bayraktar TB2,https://en.wikipedia.org/wiki/Bayraktar_TB2,,,,,,
side_a-uav-fp-1-fp-2,Ukraine,UA,FP-1 / FP-2,FP-1 / FP-2 — One-way attack drone (deep strike),platform,UAVs,uav-strike-deep,,,air,strategic,One-way attack drone (deep strike),no,/icons/fp-1-fp-2.png,local placeholder — file not in repo,,0,Hero,Weak / Verify,sketchfab.com/3d-models/ukrainian-uav-fp-1-long-range-air-drone-takeoff-11d00ee3c69c4b0585ba4f3223bdb10f,Paid,Exact dedicated model but paid,FP-1 / FP-2,https://en.wikipedia.org/wiki/Fire_Point_FP-1 | https://www.hisutton.com/FP-1-Drone.html,,,,,,
side_a-uav-reconnaissance-tactical,Ukraine,UA,Leleka-100,DeViRo Leleka-100,platform,UAVs,uav-reconnaissance,reconnaissance_uav,,air,tactical,Catapult-launched fixed-wing ISR drone that finds and confirms targets for artillery and strike drones close to the line.,yes,/icons/leleka-100.png,local placeholder — file not in repo,/gallery/leleka-100-launch.jpg,1,Icon,Sourced,sketchfab.com/3d-models/leleka-uav-5bd20726ee134859b7b72c3a2301bdc8,Free,Low-poly alt: uav-leleka-drone-low-poly-3d-model-08dcb95d20d44131be8333aaf1254f41,Leleka-100,https://en.wikipedia.org/wiki/Leleka-100 | https://www.army-technology.com/projects/leleka-100-unmanned-aerial-vehicle-uav-ukraine/ | https://gagadget.com/en/146687-the-first-ukrainian-leleka-100-drones-purchased-by-the-come-back-alive-foundation-for-1200000-are-already-in-the-sky/,,,,,,
side_a-uav-punisher,Ukraine,UA,Punisher,Punisher — Strike UAV (domestic),platform,UAVs,uav-strike,,,air,tactical,Strike UAV (domestic),no,/icons/punisher.png,local placeholder — file not in repo,,0,Icon,No free source,-,-,No dedicated model found anywhere; needs generic fixed-wing UAV placeholder or custom model,Punisher,https://www.militaryfactory.com/aircraft/detail.php?aircraft_id=2494 | https://ukraineworld.org/en/articles/analysis/punisher-drone-ukraine,,,,,,
