catalog_id,country,name,category,comparison_group,domain,manufacturer,country_of_origin,in_service_since,unit_cost_usd,wikipedia,source_file,found_model_url,found_image_urls,sourcing_notes
ru-um-geran2,Russia,Geran-2 (Shahed-136),Long-Range One-Way Attack Drone,long_range_strike_drone,Unmanned Aerial,"Alabuga Special Economic Zone, Russia (licensed from Iran's Shahed Aviation Industries)",Iran (design) / Russia (production),2022,20000–50000,https://en.wikipedia.org/wiki/HESA_Shahed_136,data/catalog/russian_military_equipment.json,,,
ru-heli-ka52,Russia,Ka-52 Alligator,Attack Helicopter,attack_helicopter,Air,"Russian Helicopters (Progress plant, Arsenyev)",Russia,2011,13000000–18000000,https://en.wikipedia.org/wiki/Kamov_Ka-52,data/catalog/russian_military_equipment.json,,,
ru-navy-kilo,Russia,"Kilo-class submarine (Improved, Project 636.3)",Diesel-Electric Submarine,naval_submarine,Naval,"Admiralty Shipyard, St. Petersburg",Russia,2014,300000000–350000000,https://en.wikipedia.org/wiki/Improved_Kilo-class_submarine,data/catalog/russian_military_equipment.json,,,
ru-ew-krasukha4,Russia,Krasukha-4,Electronic Warfare System,electronic_warfare,Ground Vehicle,KRET Corporation,Russia,2014,,https://en.wikipedia.org/wiki/Krasukha,data/catalog/russian_military_equipment.json,,,
ru-heli-mi8,Russia,Mi-8 / Mi-17,Transport Helicopter,transport_helicopter,Air,Mil Moscow Helicopter Plant (Soviet-era design),USSR legacy,1967,10000000–15000000,https://en.wikipedia.org/wiki/Mil_Mi-8,data/catalog/russian_military_equipment.json,,,
ru-uav-orlan10,Russia,Orlan-10,Reconnaissance UAV,reconnaissance_uav,Unmanned Aerial,Special Technology Center (STC),Russia,2010,87000–120000,https://en.wikipedia.org/wiki/Orlan-10,data/catalog/russian_military_equipment.json,,,
ru-ad-pantsir-s1,Russia,Pantsir-S1,Short-Range Air Defense System,air_defense_short,Ground Vehicle,KBP Instrument Design Bureau / Ulyanovsk Mechanical Plant,Russia,2012,13150000–14670000,https://en.wikipedia.org/wiki/Pantsir_missile_system,data/catalog/russian_military_equipment.json,,,
ru-air-su25,Russia,Su-25 Grach,Ground-Attack Aircraft,ground_attack_aircraft,Air,Sukhoi (Soviet-era design),USSR legacy,1981,10000000–12000000,https://en.wikipedia.org/wiki/Sukhoi_Su-25,data/catalog/russian_military_equipment.json,,,
ru-air-su34,Russia,Su-34 Fullback,Fighter-Bomber,fighter_bomber,Air,Sukhoi / United Aircraft Corporation,Russia,2014,36000000–50000000,https://en.wikipedia.org/wiki/Sukhoi_Su-34,data/catalog/russian_military_equipment.json,,,
ru-air-su35s,Russia,Su-35S Flanker-E,Fighter Aircraft,fighter_aircraft,Air,Sukhoi / United Aircraft Corporation,Russia,2014,65000000–85000000,https://en.wikipedia.org/wiki/Sukhoi_Su-35,data/catalog/russian_military_equipment.json,,,
ru-mbt-t72b3,Russia,T-72B3,Main Battle Tank,main_battle_tank,Ground Vehicle,Uralvagonzavod,Russia (upgrade of Soviet-era T-72B),2013,2000000–2500000,https://en.wikipedia.org/wiki/T-72,data/catalog/russian_military_equipment.json,,,
ru-mbt-t80bvm,Russia,T-80BVM,Main Battle Tank,main_battle_tank,Ground Vehicle,Omsktransmash (Rostec),Russia (upgrade of Soviet-era T-80BV),2018,2500000–3500000,https://en.wikipedia.org/wiki/T-80,data/catalog/russian_military_equipment.json,,,
ru-mbt-t90m,Russia,T-90M Proryv,Main Battle Tank,main_battle_tank,Ground Vehicle,Uralvagonzavod,Russia,2020,4000000–4500000,https://en.wikipedia.org/wiki/T-90,data/catalog/russian_military_equipment.json,,,
ru-art-tos1a,Russia,TOS-1A Solntsepyok,Thermobaric Rocket System,thermobaric_system,Ground Vehicle,Omsktransmash,Russia,2001,6500000,https://en.wikipedia.org/wiki/TOS-1,data/catalog/russian_military_equipment.json,,,
ru-um-lancet3,Russia,ZALA Lancet-3,Loitering Munition,loitering_munition_tactical,Unmanned Aerial,ZALA Aero Group (Kalashnikov Concern),Russia,2020,35000–40000,https://en.wikipedia.org/wiki/ZALA_Lancet,data/catalog/russian_military_equipment.json,,,
ua-art-2s1,Ukraine,2S1 Gvozdika,Self-Propelled Howitzer,self_propelled_artillery,Ground Vehicle,Kharkiv Tractor Plant (Soviet-era),USSR legacy,1972,300000–500000,https://en.wikipedia.org/wiki/2S1_Gvozdika,data/catalog/ukrainian_military_equipment.json,,,
ua-art-bohdana,Ukraine,2S22 Bohdana,Self-Propelled Howitzer,self_propelled_artillery,Ground Vehicle,Kramatorsk Heavy Duty Machine Tool Plant,Ukraine,2022,2500000–3000000,https://en.wikipedia.org/wiki/2S22_Bohdana,data/catalog/ukrainian_military_equipment.json,,,
ua-navy-adaclass,Ukraine,Ada-class corvette (Hetman Ivan Mazepa),Corvette,naval_surface_combatant,Naval,"Sedef Shipbuilding, Turkey",Turkey (built for Ukraine),2025,260000000–270000000,https://en.wikipedia.org/wiki/Ada-class_corvette,data/catalog/ukrainian_military_equipment.json,,,
ua-uav-tb2,Ukraine,Bayraktar TB2,Reconnaissance / Strike UAV,reconnaissance_uav,Unmanned Aerial,Baykar,Turkey,2014,1000000–5000000,https://en.wikipedia.org/wiki/Bayraktar_TB2,data/catalog/ukrainian_military_equipment.json,,,
ua-mlrs-bm21,Ukraine,BM-21 Grad,Multiple Launch Rocket System,mlrs_light,Ground Vehicle,Soviet-era design,USSR legacy,1963,500000–1000000,https://en.wikipedia.org/wiki/BM-21_Grad,data/catalog/ukrainian_military_equipment.json,,,
ua-ifv-bmp2,Ukraine,BMP-2,Infantry Fighting Vehicle,ifv,Ground Vehicle,Kurganmashzavod (Soviet-era design),USSR legacy,1980,1000000–1500000,https://en.wikipedia.org/wiki/BMP-2,data/catalog/ukrainian_military_equipment.json,,,
ua-apc-btr4e,Ukraine,BTR-4E Bucephalus,Armoured Personnel Carrier,apc,Ground Vehicle,Kharkiv Morozov Machine Building Design Bureau,Ukraine,2012,,https://en.wikipedia.org/wiki/BTR-4,data/catalog/ukrainian_military_equipment.json,,,
ua-air-f16am,Ukraine,F-16AM/BM Fighting Falcon,Fighter Aircraft,fighter_aircraft,Air,"Lockheed Martin (donated by Denmark, Netherlands, Norway, Belgium)",United States,2024,18000000–30000000,https://en.wikipedia.org/wiki/General_Dynamics_F-16_Fighting_Falcon,data/catalog/ukrainian_military_equipment.json,,,
ua-atgm-javelin,Ukraine,FGM-148 Javelin,Anti-Tank Guided Missile,atgm,Ground,Raytheon / Lockheed Martin (Javelin Joint Venture),United States,1996,175000–217000,https://en.wikipedia.org/wiki/FGM-148_Javelin,data/catalog/ukrainian_military_equipment.json,,,
ua-um-fp1,Ukraine,Fire Point FP-1,Long-Range One-Way Attack Drone,long_range_strike_drone,Unmanned Aerial,Fire Point,Ukraine,2024,55000,https://en.wikipedia.org/wiki/Fire_Point_FP-1,data/catalog/ukrainian_military_equipment.json,,,
ua-spaag-gepard,Ukraine,Flakpanzer Gepard,Self-Propelled Anti-Aircraft Gun,self_propelled_aa,Ground Vehicle,Krauss-Maffei / Rheinmetall,Germany,1976,2000000–3000000,https://en.wikipedia.org/wiki/Flakpanzer_Gepard,data/catalog/ukrainian_military_equipment.json,,,
ua-ad-iris-t,Ukraine,IRIS-T SLM,Medium-Range Air Defense System,air_defense_medium,Ground,Diehl Defence,Germany,2022,150000000–200000000,https://en.wikipedia.org/wiki/IRIS-T_SL,data/catalog/ukrainian_military_equipment.json,,,
ua-mbt-leopard2a6,Ukraine,Leopard 2A6,Main Battle Tank,main_battle_tank,Ground Vehicle,Krauss-Maffei Wegmann,"Germany (donated by Germany, Netherlands, and other operators)",2001,10000000–15000000,https://en.wikipedia.org/wiki/Leopard_2,data/catalog/ukrainian_military_equipment.json,,,
ua-mlrs-himars,Ukraine,M142 HIMARS,Multiple Launch Rocket System,mlrs_heavy,Ground Vehicle,Lockheed Martin,United States,2005,5000000–5500000,https://en.wikipedia.org/wiki/M142_HIMARS,data/catalog/ukrainian_military_equipment.json,,,
ua-mbt-abrams,Ukraine,M1A1 Abrams,Main Battle Tank,main_battle_tank,Ground Vehicle,General Dynamics Land Systems,United States,2023,8000000–10000000,https://en.wikipedia.org/wiki/M1_Abrams,data/catalog/ukrainian_military_equipment.json,,,
ua-ifv-bradley,Ukraine,M2A2 Bradley,Infantry Fighting Vehicle,ifv,Ground Vehicle,BAE Systems Land & Armaments,United States,2023,3000000–4000000,https://en.wikipedia.org/wiki/M2_Bradley,data/catalog/ukrainian_military_equipment.json,,,
ua-art-m777,Ukraine,M777 Howitzer,Towed Howitzer,towed_artillery,Ground,BAE Systems,United States / United Kingdom,2005,3700000,https://en.wikipedia.org/wiki/M777_howitzer,data/catalog/ukrainian_military_equipment.json,,,
ua-navy-magura-v5,Ukraine,Magura V5,Unmanned Surface Vessel,naval_drone,Unmanned Naval,Ukraine Main Directorate of Intelligence (HUR),Ukraine,2023,250000–300000,https://en.wikipedia.org/wiki/MAGURA_V5,data/catalog/ukrainian_military_equipment.json,,,
ua-heli-mi24,Ukraine,Mi-24/Mi-35 Hind,Attack Helicopter,attack_helicopter,Air,"Mil Moscow Helicopter Plant (Soviet-era design, refurbished/donated)","USSR legacy / donated by Czech Republic, Poland, Latvia, Lithuania, Croatia",1972,8000000–16000000,https://en.wikipedia.org/wiki/Mil_Mi-24,data/catalog/ukrainian_military_equipment.json,,,
ua-heli-mi8,Ukraine,Mi-8,Transport Helicopter,transport_helicopter,Air,Mil Moscow Helicopter Plant (Soviet-era design),USSR legacy,1967,10000000–15000000,https://en.wikipedia.org/wiki/Mil_Mi-8,data/catalog/ukrainian_military_equipment.json,,,
ua-air-mig29,Ukraine,MiG-29,Fighter Aircraft,fighter_aircraft,Air,Mikoyan (Soviet-era design),"USSR legacy / donated by Poland, Slovakia",1982,11000000–20000000,https://en.wikipedia.org/wiki/Mikoyan_MiG-29,data/catalog/ukrainian_military_equipment.json,,,
ua-ad-patriot,Ukraine,MIM-104 Patriot (PAC-3 MSE),Long-Range Air Defense System,air_defense_long,Ground,Raytheon (system) / Lockheed Martin (PAC-3 MSE interceptor),United States,1981,1090000000–2500000000,https://en.wikipedia.org/wiki/MIM-104_Patriot,data/catalog/ukrainian_military_equipment.json,,,
ua-atgm-nlaw,Ukraine,NLAW,Anti-Tank Guided Missile,atgm,Ground,Saab Bofors Dynamics / Thales Air Defence,Sweden / United Kingdom,2009,30000–40000,https://en.wikipedia.org/wiki/NLAW,data/catalog/ukrainian_military_equipment.json,,,
ua-air-su25,Ukraine,Su-25 Grach,Ground-Attack Aircraft,ground_attack_aircraft,Air,Sukhoi (Soviet-era design),USSR legacy,1981,10000000–12000000,https://en.wikipedia.org/wiki/Sukhoi_Su-25,data/catalog/ukrainian_military_equipment.json,,,
ua-mbt-t64bv,Ukraine,T-64BV,Main Battle Tank,main_battle_tank,Ground Vehicle,Kharkiv Morozov Machine Building Design Bureau (Soviet-era design),Ukraine / USSR legacy,1976,1000000–2000000,https://en.wikipedia.org/wiki/T-64,data/catalog/ukrainian_military_equipment.json,,,
